Ayyankali Muthal Paschimaghattam Vare,V S Achuthanandan,192,170.00
Kunnukal Nakshatrangal,E Santhoshkumar,70,65.00
Ente Kuthippum Kithappum,"Joseph Vadakkan, Fr.",384,300.00
Mathrubhumi Azhchapathippu Kathakal 2014,Many Authors,405,300.00
J Krishnamurti: Oru Jeevitham,M T N Nair,124,80.00
Vichinthanangal Smaranakal,M P Veerendrakumar,184,215.00
Kundalini Rahasyam,M T N Nair,184,170.00
Childhood Friend,Vaikom Muhammad Basheer,78,100.00
Me Grandad 'ad An Elephant!,Vaikom Muhammad Basheer,96,100.00
Pattumma's Goat,Vaikom Muhammad Basheer,,130.00
Jayaprakasham,Vishnu Narayanan Namboodiri,55,50.00
Delicious Cakes: Lokothara Cakukalum Icingukalum,Lilly Babu Jose,133,150.00
Puthumazhachoorulla Chumbanangal,Shahina E K,94,80.00
Kavachitham,Socraties K Valath,111,90.00
Visudha Jeriyayude Jeevithathil Ninnu,M Kamarudheen,78,65.00
Communalist Manifesto (Mathrubhumi),P N Kishorkumar,78,65.00
Nilanirjhari,Joy Vazhayil,151,125.00
Neethiyude Rashtreeyam,P S Sreedharan Pillai,103,80.00
Jeevitha Vijayathilekku Oru U Turn,Vipin V Roldant,128,110.00
Vicharam Vimarsam Viswasam,S Saradakkutty,175,140.00
Ryante Kinar,Abdullakutty Edavanna,64,50.00
Sudevante Thirakkathakal,Sudevan,184,140.00
Casting Mantrisabha 1981-82,A Jayasankar,207,190.00
Green Zoninu Veliyil Ninnu Ezhuthumpol,Benyamin,160,125.00
Oru Adimayude 12 Varshangal,Solomon Northup,200,175.00
Brazilian Nadodikathakal,N Moosakkutty,86,75.00
Portuguese Nadodikathakal,N Moosakkutty,143,100.00
Maappilamar Engottu?,Khan Bahadur K Muhammed,149,115.00
Nakshatrangalude Chiri,Akbar Kakkattil,134,100.00
Visudha Chumbanam,C V Balakrishnan,215,165.00
Mohanlalinte Yatrakal,Mohanlal,192,"2,000.00"
Chavarayachan: Kerala Adhunikathvathinte Silpi,John Mannaranthara,257,500.00
Vagbhatanandante Sampoorna Kruthikal,Vagbhatananda Guru,1086,700.00
Priyappetta Paattukal,M D Manoj,340,250.00
Manasinte Anantha Visthruthi,J Krishnamurti,92,75.00
Vedam Dharmamoolam,V K Narayana Bhattathiri,111,85.00
Jung: C G Junginte Jeevithavum Manasastra Sambhavanakalum,Jaisankar Pothuvath,87,70.00
Jeevante Nilanilp,Vandana Shiva,311,240.00
Aparathayodu Anuragapoorvam,K Jayakumar,96,75.00
Laughing Cancer Away,Innocent,95,125.00
Kelkkanorthoru Madhurithaganam,P K Dayanandan,104,80.00
Kishore Kumar: Sangeethavum Jeevithavum,Nadeem Naushad,104,80.00
Left Right Left (Malayalam),Murali Gopi,160,120.00
Nishabda Kalaapangal,Anuradha,160,125.00
Nivedita,Beena Govind,176,160.00
Television Padanangal: Nammeyokkeyum Bandhicha Saadhanam,C S Venkiteswaran,151,115.00
Mohammed Rafi: Sangeethavum Jeevithavum,Vinod Viplav,133,110.00
Chandrayaan,Karoor Soman,88,70.00
Madhya Thiruvithamkoor Paachakam,Lilly Babu Jose,101,80.00
Dr S Radhakrishnan,C P Sreedharan,142,110.00
Ente Bhasiyannan,Padman,184,160.00
Oru Desam Nuna Parayunnu,A Santhakumar,184,140.00
